"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.127677231E0,-1.956579238E-1,-3.188347816E-2,6.674671173E-2,2.091738580E-1
1.132682073E0,-1.952947229E-1,-3.102087975E-2,6.649780273E-2,2.086247386E-1
1.137686996E0,-1.550496072E-1,-1.061522961E-1,6.620502472E-2,1.992279999E-1
1.142691919E0,-1.549923271E-1,-1.044769287E-1,-2.565383911E-4,1.869174040E-1
1.147696842E0,1.119932532E-1,-2.816796303E-2,-2.937316895E-4,1.154816401E-1
1.152701535E0,3.405454755E-2,-1.029899120E-1,-6.027221680E-4,1.084757921E-1
1.157706476E0,3.301876783E-2,-1.010494232E-1,6.400012970E-2,1.240856219E-1
1.162680937E0,-6.447166204E-3,-9.805226326E-2,6.322860718E-2,1.168489155E-1
1.167685783E0,-6.388574839E-3,-9.721326828E-2,6.299686432E-2,1.160165434E-1
1.172690706E0,-4.480159283E-2,1.785445213E-2,6.272029877E-2,7.911889824E-2
1.177695630E0,-4.517385364E-2,1.955676079E-2,6.226730347E-2,7.937481355E-2
1.182700553E0,-8.547127247E-3,-5.255341530E-2,6.123447418E-2,8.114539834E-2
1.187705471E0,1.051093638E-1,2.518177032E-2,6.082248688E-2,1.240220739E-1
1.192679702E0,1.037297249E-1,2.684664726E-2,6.041431427E-2,1.230060473E-1
1.197684635E0,-4.940742254E-2,6.769943237E-2,3.681468964E-2,9.154030762E-2
1.202689481E0,-4.904031754E-2,6.730794907E-2,3.690814972E-2,9.109074743E-2
1.207694404E0,2.615544200E-2,-7.282257080E-3,3.629016876E-2,4.532234287E-2
1.212699322E0,2.549764514E-2,-4.889965057E-3,7.571029663E-2,8.003805771E-2
1.217704245E0,-8.930763602E-2,3.544759750E-2,7.505893707E-2,1.219271506E-1
1.222678476E0,-5.043038726E-2,-7.541871071E-2,7.421207428E-2,1.172119356E-1
1.227683394E0,-5.054751039E-2,-7.232236862E-2,7.337760925E-2,1.147599641E-1
1.232688317E0,-8.936807513E-2,8.265471458E-2,3.278636932E-2,1.260690315E-1
1.237693163E0,-8.938625455E-2,8.466029167E-2,3.224563599E-2,1.272676256E-1
1.242698086E0,-1.271266341E-1,1.021814346E-2,3.155517578E-2,1.313823454E-1
1.247703014E0,-1.266368032E-1,1.261401176E-2,-6.009101868E-3,1.274052688E-1
1.252677245E0,-1.637658626E-1,1.498603821E-2,-6.676673889E-3,1.645855919E-1
1.257682168E0,-1.637482494E-1,1.980543137E-2,-7.974624634E-3,1.651343057E-1
1.262687096E0,-2.770589292E-1,9.837293625E-2,-8.467674255E-3,2.941268202E-1
1.267691942E0,-1.229079366E-1,2.121090889E-2,-6.498336792E-3,1.248939226E-1
1.272696856E0,-1.225596964E-1,2.346229553E-2,-7.115364075E-3,1.249879471E-1
1.277701779E0,-8.452764153E-2,-8.860230446E-2,-7.914543152E-3,1.227107596E-1
1.282706476E0,-8.518537879E-2,-8.311963081E-2,1.358890533E-2,1.197918200E-1
1.287711399E0,-1.222272515E-1,-8.242678642E-2,1.336860657E-2,1.480283614E-1
1.292685861E0,-1.218658090E-1,-7.938098907E-2,1.254177094E-2,1.459791521E-1
1.297690766E0,-1.211382151E-1,-3.827524185E-2,1.195526123E-2,1.276024669E-1
1.302695612E0,-1.581564099E-1,-3.617143631E-2,3.236293793E-2,1.654363398E-1
1.307700543E0,-1.572335213E-1,-3.408646584E-2,3.177738190E-2,1.639941139E-1
1.312705466E0,-1.951712221E-1,-1.835918427E-1,3.053283691E-2,2.696850473E-1
1.317710177E0,-1.938312203E-1,-1.824028492E-1,2.272605896E-3,2.661700698E-1
1.322684562E0,-1.537857205E-1,-1.411004066E-1,1.626968384E-3,2.087151638E-1
1.327689485E0,-1.527466625E-1,-1.388227940E-1,9.889602661E-4,2.064080644E-1
1.332694428E0,-1.140739918E-1,-1.753280163E-1,3.042221069E-4,2.091718945E-1
1.337699351E0,-1.501334161E-1,-1.720473766E-1,4.737377167E-2,2.332050957E-1
1.342704044E0,-1.482645422E-1,-1.688022614E-1,4.645538330E-2,2.294224936E-1
1.347678510E0,-1.852312833E-1,-2.034046650E-1,4.550743103E-2,2.788458577E-1
