"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.254611096E0,1.587510109E-2,2.615069151E-1,3.002357483E-2,2.637030537E-1
1.259585327E0,5.565509200E-2,2.180302143E-1,3.098487854E-2,2.271447255E-1
1.264590250E0,5.747155845E-2,2.126649618E-1,3.194713593E-2,2.225982603E-1
1.269609865E0,2.128444612E-2,5.417132378E-2,3.277778625E-2,6.679777869E-2
1.274600096E0,1.367399991E-1,1.256706715E-1,-2.536582947E-2,1.874416451E-1
1.279604942E0,1.372848451E-1,1.202653646E-1,-2.441596985E-2,1.841386060E-1
1.284609860E0,2.405588329E-2,1.911129951E-1,-2.331542969E-2,1.940269870E-1
1.289598783E0,2.538117766E-2,1.849936247E-1,-2.221584320E-2,1.880435828E-1
1.294589014E0,6.442566216E-2,1.795063019E-1,3.277111053E-2,1.935125940E-1
1.299593957E0,6.394521892E-2,1.782672405E-1,3.297805786E-2,1.922387900E-1
1.304598803E0,2.887530625E-2,9.218060970E-2,3.465461731E-2,1.026254872E-1
1.309618269E0,1.438514888E-1,1.638069153E-1,3.364944458E-2,2.205861316E-1
1.314608654E0,1.427756250E-1,1.626678705E-1,3.382778168E-2,2.190662777E-1
1.319582884E0,1.818324924E-1,1.912429333E-1,3.554630280E-2,2.662713925E-1
1.324587808E0,1.816345751E-1,1.858341694E-1,3.650951385E-2,2.624088451E-1
1.329607423E0,1.801497042E-1,1.465867758E-1,1.868152618E-2,2.330034296E-1
1.334597669E0,1.793080270E-1,1.416560411E-1,1.954746246E-2,2.293466935E-1
1.339602592E0,1.407995820E-1,2.888668776E-1,2.058124542E-2,3.220127061E-1
1.344607515E0,1.026977450E-1,2.831023932E-1,2.056980133E-2,3.018557744E-1
1.349626900E0,1.025068015E-1,2.773585320E-1,2.160739899E-2,2.964831855E-1
1.354586823E0,1.017994136E-1,2.342661619E-1,2.252769470E-2,2.564200699E-1
